Feature,Level,Stable MCI (N=144),MCI-to-AD Converters (N=170),Total Cohort (N=314),p-value
Age at baseline (years),"Median (Q1, Q3)","74.4 (70.4, 80.7)","75.3 (69.8, 79.7)","74.6 (70.1, 80.3)",0.996
Education (years),"Median (Q1, Q3)","16.0 (13.2, 18.0)","16.0 (14.0, 18.0)","16.0 (14.0, 18.0)",0.552
MMSE Score,"Median (Q1, Q3)","28.0 (26.0, 29.0)","27.0 (25.0, 28.0)","27.0 (26.0, 29.0)",<0.001
CDR Sum of Boxes,"Median (Q1, Q3)","1.5 (1.0, 1.5)","2.0 (1.0, 2.5)","1.5 (1.0, 2.0)",<0.001
FAQ Total Score,"Median (Q1, Q3)","1.0 (0.0, 3.0)","4.0 (1.0, 8.0)","2.0 (0.0, 6.0)",<0.001
MoCA Score,"Median (Q1, Q3)","26.0 (23.0, 27.0)","26.0 (22.0, 27.0)","26.0 (22.0, 27.0)",0.556
NPI Score,"Median (Q1, Q3)","1.0 (0.0, 2.0)","1.0 (0.0, 3.0)","1.0 (0.0, 3.0)",0.009
ADAS-Cog 13,"Median (Q1, Q3)","15.3 (10.5, 19.7)","21.0 (17.7, 24.0)","18.7 (14.3, 23.0)",<0.001
Gender,,,,,0.172
,0.0,92 (68.7%),94 (60.3%),186 (64.1%),
,1.0,42 (31.3%),62 (39.7%),104 (35.9%),
APOE4 Allele Count,,,,,<0.001
,0,87 (60.4%),56 (32.9%),143 (45.5%),
,1,49 (34.0%),86 (50.6%),135 (43.0%),
,2,8 (5.6%),28 (16.5%),36 (11.5%),
