disease,tau,method,method_label,rejection_rate,sensitivity,specificity,auprc,n_retained,minority_coverage,majority_coverage
AD,0.54,h_total,H_Total (Global),0.0,0.7529411764705882,0.7430555555555556,0.8710440706902991,314,1.0,1.0
AD,0.54,h_total,H_Total (Global),0.05,0.7901234567901234,0.7299270072992701,0.8783872193009916,299,0.9529411764705882,0.9513888888888888
AD,0.54,h_total,H_Total (Global),0.1,0.8235294117647058,0.7153846153846154,0.8869510945351995,283,0.9,0.9027777777777778
AD,0.54,h_total,H_Total (Global),0.15,0.8472222222222222,0.7317073170731707,0.8957733402256103,267,0.8470588235294118,0.8541666666666666
AD,0.54,h_total,H_Total (Global),0.2,0.8478260869565217,0.7368421052631579,0.9045890191851622,252,0.8117647058823529,0.7916666666666666
AD,0.54,h_total,H_Total (Global),0.25,0.8769230769230769,0.7547169811320755,0.9141125680080076,236,0.7647058823529411,0.7361111111111112
AD,0.54,h_total,H_Total (Global),0.3,0.8983050847457628,0.7745098039215687,0.9237725277039248,220,0.6941176470588235,0.7083333333333334
AD,0.54,h_total,H_Total (Global),0.35,0.911504424778761,0.8152173913043478,0.9309345256296264,205,0.6647058823529411,0.6388888888888888
AD,0.54,h_total,H_Total (Global),0.4,0.9339622641509434,0.8313253012048193,0.9377046685991633,189,0.6235294117647059,0.5763888888888888
AD,0.54,h_total,H_Total (Global),0.45,0.9393939393939394,0.8513513513513513,0.9432489288490522,173,0.5823529411764706,0.5138888888888888
AD,0.54,h_total,H_Total (Global),0.5,0.9347826086956522,0.8769230769230769,0.9494597056794788,157,0.5411764705882353,0.4513888888888889
AD,0.54,h_total,H_Total (Global),0.55,0.9302325581395349,0.9107142857142857,0.9547704154598946,142,0.5058823529411764,0.3888888888888889
AD,0.54,h_total,H_Total (Global),0.6,0.9230769230769231,0.9166666666666666,0.9602559822414838,126,0.4588235294117647,0.3333333333333333
AD,0.54,h_total,H_Total (Global),0.65,0.9545454545454546,0.9090909090909091,0.9644427066870707,110,0.38823529411764707,0.3055555555555556
AD,0.54,h_total,H_Total (Global),0.7,0.9661016949152542,0.9166666666666666,0.9702380872922614,95,0.34705882352941175,0.25
AD,0.54,h_total,H_Total (Global),0.75,0.98,0.896551724137931,0.9755238193881027,79,0.29411764705882354,0.2013888888888889
AD,0.54,h_total,H_Total (Global),0.8,0.9761904761904762,0.9047619047619048,0.9831821937364339,63,0.24705882352941178,0.14583333333333334
AD,0.54,margin,Margin (Global),0.0,0.7529411764705882,0.7430555555555556,0.8710440706902991,314,1.0,1.0
AD,0.54,margin,Margin (Global),0.05,0.779874213836478,0.7428571428571429,0.8774906251800194,299,0.9352941176470588,0.9722222222222222
AD,0.54,margin,Margin (Global),0.1,0.7866666666666666,0.7669172932330827,0.8856316531648905,283,0.8823529411764706,0.9236111111111112
AD,0.54,margin,Margin (Global),0.15,0.7916666666666666,0.7723577235772358,0.89580871868934,267,0.8470588235294118,0.8541666666666666
AD,0.54,margin,Margin (Global),0.2,0.8208955223880597,0.788135593220339,0.9034353647683243,252,0.788235294117647,0.8194444444444444
AD,0.54,margin,Margin (Global),0.25,0.828125,0.8055555555555556,0.9138411591633592,236,0.7529411764705882,0.75
