disease,tau,distance,variance_above_tau,variance_below_tau,n_above,n_below
MS,0.13,0.0125,0.0013673716262620783,0.0007866989578028727,64,121
MS,0.13,0.0375,0.002827124516321746,0.0005984135635881656,44,272
MS,0.13,0.0625,0.005397137400996764,0.000570927240265728,39,86
MS,0.13,0.0875,0.006534068734869527,,30,0
MS,0.13,0.1125,0.008753118232175845,,22,0
MS,0.13,0.1375,0.00948035009798215,,10,0
MS,0.13,0.1625,0.009109484964324885,,14,0
MS,0.13,0.1875,0.00746157833732403,,6,0
PD,0.39,0.0125,0.00784126140338004,0.006666491228070168,4,5
PD,0.39,0.0375,0.008361508327468908,0.004434643158662726,6,14
PD,0.39,0.0625,0.006236615190771693,0.005524484467549145,7,11
PD,0.39,0.0875,0.008614000297633631,0.0028690898369797186,8,4
PD,0.39,0.1125,0.0086538549322863,0.005482467034258687,9,10
PD,0.39,0.1375,0.008324335490240744,0.0041784065565967175,5,13
PD,0.39,0.1625,0.009554265182186227,0.0034453416334001043,5,14
PD,0.39,0.1875,0.007638893433983751,0.002405305757223923,5,19
AD,0.54,0.0125,0.01286760934123781,0.010173816781909217,6,12
AD,0.54,0.0375,0.01640270196281779,0.01162717460317459,10,3
AD,0.54,0.0625,0.009363431349309222,0.015265937678165857,7,9
AD,0.54,0.0875,0.014541703701208853,0.009093765334805949,7,9
AD,0.54,0.1125,0.01312755079488979,0.010472954644568972,13,10
AD,0.54,0.1375,0.010168369639717111,0.009490026219785687,9,9
AD,0.54,0.1625,0.007607301846082303,0.007572397098515508,13,2
AD,0.54,0.1875,0.005457662575234527,0.013721040402576901,13,6
