disease,tau,method,method_label,rejection_rate,sensitivity,specificity,auprc,n_retained,minority_coverage,majority_coverage
PD,0.39,h_total,H_Total (Global),0.0,0.71875,0.76,0.6998023244065193,246,1.0,1.0
PD,0.39,h_total,H_Total (Global),0.05,0.7,0.7916666666666666,0.7028061709982887,234,0.9375,0.96
PD,0.39,h_total,H_Total (Global),0.1,0.6785714285714286,0.8260869565217391,0.7042691254523114,222,0.875,0.92
PD,0.39,h_total,H_Total (Global),0.15,0.6493506493506493,0.8571428571428571,0.7000930671817703,210,0.8020833333333334,0.8866666666666667
PD,0.39,h_total,H_Total (Global),0.2,0.6029411764705882,0.8837209302325582,0.6874909946036217,197,0.7083333333333334,0.86
PD,0.39,h_total,H_Total (Global),0.25,0.5737704918032787,0.9112903225806451,0.6825141715516531,185,0.6354166666666666,0.8266666666666667
PD,0.39,h_total,H_Total (Global),0.3,0.5925925925925926,0.9159663865546218,0.671616754459194,173,0.5625,0.7933333333333333
PD,0.39,h_total,H_Total (Global),0.35,0.6,0.9130434782608695,0.6477359121484892,160,0.46875,0.7666666666666667
PD,0.39,h_total,H_Total (Global),0.4,0.6,0.9259259259259259,0.6399722654154941,148,0.4166666666666667,0.72
PD,0.39,h_total,H_Total (Global),0.45,0.6111111111111112,0.94,0.6352206787657833,136,0.375,0.6666666666666666
PD,0.39,h_total,H_Total (Global),0.5,0.5862068965517241,0.9574468085106383,0.5858210000899621,123,0.3020833333333333,0.6266666666666667
PD,0.39,h_total,H_Total (Global),0.55,0.5555555555555556,0.9523809523809523,0.5839050347857699,111,0.28125,0.56
PD,0.39,h_total,H_Total (Global),0.6,0.52,0.9594594594594594,0.5959204652127963,99,0.2604166666666667,0.49333333333333335
PD,0.39,h_total,H_Total (Global),0.65,0.47368421052631576,0.9705882352941176,0.5100126581132746,87,0.19791666666666666,0.4533333333333333
PD,0.39,h_total,H_Total (Global),0.7,0.375,0.9655172413793104,0.47327019243037216,74,0.16666666666666666,0.38666666666666666
PD,0.39,h_total,H_Total (Global),0.75,0.35714285714285715,0.9791666666666666,0.5060082532387976,62,0.14583333333333334,0.32
PD,0.39,h_total,H_Total (Global),0.8,0.125,0.9761904761904762,0.2948156375787955,50,0.08333333333333333,0.28
PD,0.39,margin,Margin (Global),0.0,0.71875,0.76,0.6998023244065193,246,1.0,1.0
PD,0.39,margin,Margin (Global),0.05,0.7333333333333333,0.7708333333333334,0.7036394052930166,234,0.9375,0.96
PD,0.39,margin,Margin (Global),0.1,0.7558139534883721,0.7794117647058824,0.7097626896892467,222,0.8958333333333334,0.9066666666666666
PD,0.39,margin,Margin (Global),0.15,0.8,0.7846153846153846,0.7118616817245008,210,0.8333333333333334,0.8666666666666667
PD,0.39,margin,Margin (Global),0.2,0.8026315789473685,0.7933884297520661,0.716619316684526,197,0.7916666666666666,0.8066666666666666
PD,0.39,margin,Margin (Global),0.25,0.8028169014084507,0.8157894736842105,0.7183540383402772,185,0.7395833333333334,0.76
PD,0.39,margin,Margin (Global),0.3,0.8181818181818182,0.822429906542056,0.7183033044851611,173,0.6875,0.7133333333333334
PD,0.39,margin,Margin (Global),0.35,0.8153846153846154,0.8210526315789474,0.7263099716947544,160,0.6770833333333334,0.6333333333333333
PD,0.39,margin,Margin (Global),0.4,0.8095238095238095,0.8235294117647058,0.7334694757769041,148,0.65625,0.5666666666666667
PD,0.39,margin,Margin (Global),0.45,0.8275862068965517,0.8205128205128205,0.7326773272116902,136,0.6041666666666666,0.52
PD,0.39,margin,Margin (Global),0.5,0.8245614035087719,0.7878787878787878,0.7445722657213273,123,0.59375,0.44
PD,0.39,margin,Margin (Global),0.55,0.8333333333333334,0.7719298245614035,0.7532798124545506,111,0.5625,0.38
PD,0.39,margin,Margin (Global),0.6,0.8775510204081632,0.74,0.7566924741969101,99,0.5104166666666666,0.3333333333333333
PD,0.39,margin,Margin (Global),0.65,0.9090909090909091,0.6976744186046512,0.7601605964737136,87,0.4583333333333333,0.2866666666666667
PD,0.39,margin,Margin (Global),0.7,0.9210526315789473,0.6388888888888888,0.7647142159781873,74,0.3958333333333333,0.24
PD,0.39,margin,Margin (Global),0.75,0.9444444444444444,0.6153846153846154,0.7724675183357606,62,0.375,0.17333333333333334
PD,0.39,margin,Margin (Global),0.8,1.0,0.4117647058823529,0.7778617188088922,50,0.34375,0.11333333333333333
PD,0.39,h_tau,H_tau (Global),0.0,0.71875,0.76,0.6998023244065193,246,1.0,1.0
PD,0.39,h_tau,H_tau (Global),0.05,0.7333333333333333,0.7777777777777778,0.7036394052930166,234,0.9375,0.96
PD,0.39,h_tau,H_tau (Global),0.1,0.7441860465116279,0.7941176470588235,0.7097626896892467,222,0.8958333333333334,0.9066666666666666
PD,0.39,h_tau,H_tau (Global),0.15,0.775,0.8,0.7120549184394768,210,0.8333333333333334,0.8666666666666667
PD,0.39,h_tau,H_tau (Global),0.2,0.7808219178082192,0.8225806451612904,0.7113818544436669,197,0.7604166666666666,0.8266666666666667
